"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2011","49","49000","Utah","2,771,350","377,396","364,961","389,831","364,961 to 389,831","13.6","13.2","14.0","13.2 to 14.0","869,345","140,772","133,410","148,134","133,410 to 148,134","16.2","15.4","17.0","15.4 to 17.0","607,474","90,385","83,885","96,885","83,885 to 96,885","14.9","13.8","16.0","13.8 to 16.0","258,498","47,016","43,496","50,536","43,496 to 50,536","18.2","16.8","19.6","16.8 to 19.6","$55,802","$55,045","$56,559","$55,045 to $56,559"
"2010","49","49000","Utah","2,730,180","362,689","352,107","373,271","352,107 to 373,271","13.3","12.9","13.7","12.9 to 13.7","861,875","137,407","130,952","143,862","130,952 to 143,862","15.9","15.2","16.6","15.2 to 16.6","599,225","89,067","83,469","94,665","83,469 to 94,665","14.9","14.0","15.8","14.0 to 15.8","260,294","45,802","42,491","49,113","42,491 to 49,113","17.6","16.3","18.9","16.3 to 18.9","$54,740","$54,150","$55,330","$54,150 to $55,330"
"2009","49","49000","Utah","2,741,773","321,441","310,622","332,259","310,622 to 332,259","11.7","11.3","12.1","11.3 to 12.1","858,548","110,852","104,327","117,377","104,327 to 117,377","12.9","12.2","13.7","12.2 to 13.7","585,702","70,243","64,891","75,595","64,891 to 75,595","12.0","11.1","12.9","11.1 to 12.9","269,876","37,628","34,090","41,166","34,090 to 41,166","13.9","12.6","15.3","12.6 to 15.3","$55,183","$54,441","$55,925","$54,441 to $55,925"
"2008","49","49000","Utah","2,695,235","261,556","252,338","270,773","252,338 to 270,773","9.7","9.4","10.0","9.4 to 10.0","840,716","91,706","86,059","97,354","86,059 to 97,354","10.9","10.2","11.6","10.2 to 11.6","571,145","55,278","50,794","59,762","50,794 to 59,762","9.7","8.9","10.5","8.9 to 10.5","265,604","32,649","29,594","35,703","29,594 to 35,703","12.3","11.1","13.4","11.1 to 13.4","$56,820","$56,133","$57,507","$56,133 to $57,507"
"2007","49","49000","Utah","2,601,521","254,385","245,759","263,012","245,759 to 263,012","9.8","9.4","10.1","9.4 to 10.1","805,516","91,064","85,787","96,340","85,787 to 96,340","11.3","10.6","12.0","10.6 to 12.0","549,997","55,841","51,225","60,457","51,225 to 60,457","10.2","9.3","11.0","9.3 to 11.0","252,632","32,345","29,700","34,990","29,700 to 34,990","12.8","11.8","13.9","11.8 to 13.9","$55,220","$54,512","$55,928","$54,512 to $55,928"
"2006","49","49000","Utah","2,508,640","269,611","260,807","278,416","260,807 to 278,416","10.7","10.4","11.1","10.4 to 11.1","782,009","95,887","90,759","101,015","90,759 to 101,015","12.3","11.6","12.9","11.6 to 12.9","534,324","57,412","53,207","61,617","53,207 to 61,617","10.7","10.0","11.5","10.0 to 11.5","245,251","35,338","32,518","38,158","32,518 to 38,158","14.4","13.3","15.6","13.3 to 15.6","$51,373","$50,830","$51,916","$50,830 to $51,916"
"2015","50","50000","Vermont","600,659","62,643","59,418","65,868","59,418 to 65,868","10.4","9.9","10.9","9.9 to 10.9","116,697","16,009","14,648","17,370","14,648 to 17,370","13.7","12.5","14.9","12.5 to 14.9","86,397","10,515","9,326","11,704","9,326 to 11,704","12.2","10.8","13.6","10.8 to 13.6","29,207","4,561","3,928","5,194","3,928 to 5,194","15.6","13.4","17.8","13.4 to 17.8","$56,883","$55,668","$58,098","$55,668 to $58,098"
"2014","50","50000","Vermont","601,822","72,294","68,859","75,729","68,859 to 75,729","12.0","11.4","12.6","11.4 to 12.6","118,968","18,374","16,966","19,782","16,966 to 19,782","15.4","14.2","16.6","14.2 to 16.6","88,496","12,473","11,267","13,679","11,267 to 13,679","14.1","12.7","15.5","12.7 to 15.5","29,641","5,157","4,469","5,845","4,469 to 5,845","17.4","15.1","19.7","15.1 to 19.7","$54,153","$52,739","$55,567","$52,739 to $55,567"
"2013","50","50000","Vermont","602,556","73,947","70,551","77,343","70,551 to 77,343","12.3","11.7","12.9","11.7 to 12.9","120,737","18,412","16,846","19,978","16,846 to 19,978","15.2","13.9","16.5","13.9 to 16.5","89,925","11,990","10,649","13,331","10,649 to 13,331","13.3","11.8","14.8","11.8 to 14.8","29,861","5,506","4,720","6,292","4,720 to 6,292","18.4","15.8","21.0","15.8 to 21.0","$52,511","$51,183","$53,839","$51,183 to $53,839"
"2012","50","50000","Vermont","601,606","71,626","68,589","74,663","68,589 to 74,663","11.9","11.4","12.4","11.4 to 12.4","121,614","19,044","17,662","20,426","17,662 to 20,426","15.7","14.6","16.8","14.6 to 16.8","90,640","12,604","11,368","13,840","11,368 to 13,840","13.9","12.5","15.3","12.5 to 15.3","30,037","5,651","5,060","6,242","5,060 to 6,242","18.8","16.8","20.8","16.8 to 20.8","$52,700","$51,601","$53,799","$51,601 to $53,799"
"2011","50","50000","Vermont","601,231","71,378","68,401","74,355","68,401 to 74,355","11.9","11.4","12.4","11.4 to 12.4","122,885","19,367","17,893","20,841","17,893 to 20,841","15.8","14.6","17.0","14.6 to 17.0","91,446","11,914","10,618","13,210","10,618 to 13,210","13.0","11.6","14.4","11.6 to 14.4","30,456","6,502","5,734","7,270","5,734 to 7,270","21.3","18.8","23.8","18.8 to 23.8","$52,033","$50,824","$53,242","$50,824 to $53,242"
"2010","50","50000","Vermont","600,863","74,720","71,172","78,268","71,172 to 78,268","12.4","11.8","13.0","11.8 to 13.0","126,131","20,036","18,373","21,699","18,373 to 21,699","15.9","14.6","17.2","14.6 to 17.2","93,643","12,762","11,254","14,270","11,254 to 14,270","13.6","12.0","15.2","12.0 to 15.2","31,304","6,282","5,570","6,994","5,570 to 6,994","20.1","17.8","22.4","17.8 to 22.4","$49,393","$48,253","$50,533","$48,253 to $50,533"
"2009","50","50000","Vermont","600,251","69,137","65,818","72,455","65,818 to 72,455","11.5","11.0","12.1","11.0 to 12.1","123,798","17,371","15,991","18,750","15,991 to 18,750","14.0","12.9","15.1","12.9 to 15.1","92,094","10,734","9,552","11,916","9,552 to 11,916","11.7","10.4","12.9","10.4 to 12.9","31,032","5,869","5,215","6,522","5,215 to 6,522","18.9","16.8","21.0","16.8 to 21.0","$51,219","$50,356","$52,081","$50,356 to $52,081"
"2008","50","50000","Vermont","599,715","62,505","59,436","65,573","59,436 to 65,573","10.4","9.9","10.9","9.9 to 10.9","126,497","16,183","14,773","17,593","14,773 to 17,593","12.8","11.7","13.9","11.7 to 13.9","93,091","9,891","8,624","11,158","8,624 to 11,158","10.6","9.3","12.0","9.3 to 12.0","31,901","5,166","4,551","5,782","4,551 to 5,782","16.2","14.3","18.1","14.3 to 18.1","$52,111","$51,188","$53,033","$51,188 to $53,033"
"2007","50","50000","Vermont","600,232","60,609","57,673","63,546","57,673 to 63,546","10.1","9.6","10.6","9.6 to 10.6","128,666","15,894","14,572","17,217","14,572 to 17,217","12.4","11.3","13.4","11.3 to 13.4","95,667","9,809","8,594","11,024","8,594 to 11,024","10.3","9.0","11.5","9.0 to 11.5","31,867","5,049","4,543","5,555","4,543 to 5,555","15.8","14.3","17.4","14.3 to 17.4","$49,698","$48,697","$50,698","$48,697 to $50,698"
"2006","50","50000","Vermont","603,572","61,694","59,240","64,148","59,240 to 64,148","10.2","9.8","10.6","9.8 to 10.6","131,430","16,619","15,437","17,800","15,437 to 17,800","12.6","11.7","13.5","11.7 to 13.5","97,553","10,176","9,094","11,258","9,094 to 11,258","10.4","9.3","11.5","9.3 to 11.5","32,492","5,229","4,689","5,768","4,689 to 5,768","16.1","14.4","17.8","14.4 to 17.8","$47,778","$46,760","$48,795","$46,760 to $48,795"
"2015","51","51000","Virginia","8,131,331","914,226","895,213","933,239","895,213 to 933,239","11.2","11.0","11.4","11.0 to 11.4","1,841,596","275,747","266,171","285,323","266,171 to 285,323","15.0","14.5","15.5","14.5 to 15.5","1,330,273","186,603","178,578","194,628","178,578 to 194,628","14.0","13.4","14.6","13.4 to 14.6","504,607","82,761","77,957","87,565","77,957 to 87,565","16.4","15.4","17.4","15.4 to 17.4","$66,263","$65,730","$66,796","$65,730 to $66,796"
"2014","51","51000","Virginia","8,080,272","955,541","936,889","974,193","936,889 to 974,193","11.8","11.6","12.0","11.6 to 12.0","1,842,990","292,525","282,366","302,684","282,366 to 302,684","15.9","15.3","16.5","15.3 to 16.5","1,329,772","199,966","191,248","208,684","191,248 to 208,684","15.0","14.3","15.7","14.3 to 15.7","504,953","85,189","80,025","90,353","80,025 to 90,353","16.9","15.9","17.9","15.9 to 17.9","$64,923","$64,318","$65,528","$64,318 to $65,528"
"2013","51","51000","Virginia","8,010,546","941,059","922,345","959,773","922,345 to 959,773","11.7","11.5","11.9","11.5 to 11.9","1,835,642","289,032","279,012","299,052","279,012 to 299,052","15.7","15.2","16.2","15.2 to 16.2","1,325,151","190,734","182,244","199,224","182,244 to 199,224","14.4","13.8","15.0","13.8 to 15.0","502,376","90,979","85,557","96,401","85,557 to 96,401","18.1","17.0","19.2","17.0 to 19.2","$62,745","$62,101","$63,389","$62,101 to $63,389"
"2012","51","51000","Virginia","7,936,889","936,384","918,614","954,154","918,614 to 954,154","11.8","11.6","12.0","11.6 to 12.0","1,829,877","283,035","273,685","292,385","273,685 to 292,385","15.5","15.0","16.0","15.0 to 16.0","1,320,469","189,191","181,052","197,330","181,052 to 197,330","14.3","13.7","14.9","13.7 to 14.9","502,910","87,659","83,272","92,046","83,272 to 92,046","17.4","16.5","18.3","16.5 to 18.3","$61,782","$61,379","$62,185","$61,379 to $62,185"
"2011","51","51000","Virginia","7,854,277","912,779","894,233","931,325","894,233 to 931,325","11.6","11.4","11.8","11.4 to 11.8","1,829,365","284,561","273,934","295,188","273,934 to 295,188","15.6","15.0","16.2","15.0 to 16.2","1,322,033","189,082","179,895","198,269","179,895 to 198,269","14.3","13.6","15.0","13.6 to 15.0","500,801","88,811","83,378","94,244","83,378 to 94,244","17.7","16.6","18.8","16.6 to 18.8","$61,877","$61,383","$62,371","$61,383 to $62,371"
"2010","51","51000","Virginia","7,780,621","865,746","848,523","882,969","848,523 to 882,969","11.1","10.9","11.3","10.9 to 11.3","1,828,902","266,606","257,069","276,143","257,069 to 276,143","14.6","14.1","15.1","14.1 to 15.1","1,321,846","172,606","164,452","180,760","164,452 to 180,760","13.1","12.5","13.7","12.5 to 13.7","501,048","88,699","83,490","93,908","83,490 to 93,908","17.7","16.7","18.7","16.7 to 18.7","$60,665","$60,222","$61,108","$60,222 to $61,108"
"2009","51","51000","Virginia","7,623,662","805,555","787,077","824,032","787,077 to 824,032","10.6","10.3","10.8","10.3 to 10.8","1,816,834","255,156","244,423","265,888","244,423 to 265,888","14.0","13.5","14.6","13.5 to 14.6","1,290,017","165,115","155,838","174,392","155,838 to 174,392","12.8","12.1","13.5","12.1 to 13.5","519,460","83,300","77,768","88,832","77,768 to 88,832","16.0","15.0","17.1","15.0 to 17.1","$59,372","$58,904","$59,840","$58,904 to $59,840"
"2008","51","51000","Virginia","7,518,337","766,852","748,642","785,062","748,642 to 785,062","10.2","10.0","10.4","10.0 to 10.4","1,796,612","244,210","234,292","254,127","234,292 to 254,127","13.6","13.0","14.1","13.0 to 14.1","1,276,056","155,347","146,721","163,973","146,721 to 163,973","12.2","11.5","12.8","11.5 to 12.8","512,559","82,045","77,273","86,816","77,273 to 86,816","16.0","15.1","16.9","15.1 to 16.9","$61,210","$60,781","$61,639","$60,781 to $61,639"
"2007","51","51000","Virginia","7,466,132","739,135","722,438","755,831","722,438 to 755,831","9.9","9.7","10.1","9.7 to 10.1","1,798,881","232,569","222,602","242,535","222,602 to 242,535","12.9","12.4","13.5","12.4 to 13.5","1,282,104","152,581","143,553","161,609","143,553 to 161,609","11.9","11.2","12.6","11.2 to 12.6","509,016","72,654","68,559","76,748","68,559 to 76,748","14.3","13.5","15.1","13.5 to 15.1","$59,575","$59,012","$60,138","$59,012 to $60,138"
"2006","51","51000","Virginia","7,404,168","713,181","696,845","729,517","696,845 to 729,517","9.6","9.4","9.9","9.4 to 9.9","1,778,852","219,261","210,537","227,986","210,537 to 227,986","12.3","11.8","12.8","11.8 to 12.8","1,267,731","135,234","127,582","142,886","127,582 to 142,886","10.7","10.1","11.3","10.1 to 11.3","501,072","75,072","70,665","79,480","70,665 to 79,480","15.0","14.1","15.9","14.1 to 15.9","$56,297","$55,855","$56,740","$55,855 to $56,740"
"2015","53","53000","Washington","7,036,738","860,734","842,651","878,817","842,651 to 878,817","12.2","11.9","12.5","11.9 to 12.5","1,583,165","248,383","238,353","258,413","238,353 to 258,413","15.7","15.1","16.3","15.1 to 16.3","1,135,091","165,494","156,493","174,495","156,493 to 174,495","14.6","13.8","15.4","13.8 to 15.4","438,080","73,455","68,970","77,940","68,970 to 77,940","16.8","15.8","17.8","15.8 to 17.8","$64,080","$63,310","$64,850","$63,310 to $64,850"
"2014","53","53000","Washington","6,927,892","913,463","895,355","931,571","895,355 to 931,571","13.2","12.9","13.5","12.9 to 13.5","1,574,226","275,662","265,882","285,442","265,882 to 285,442","17.5","16.9","18.1","16.9 to 18.1","1,127,190","180,464","171,990","188,938","171,990 to 188,938","16.0","15.2","16.8","15.2 to 16.8","436,200","85,453","80,800","90,106","80,800 to 90,106","19.6","18.5","20.7","18.5 to 20.7","$61,358","$60,882","$61,834","$60,882 to $61,834"
"2013","53","53000","Washington","6,836,264","963,088","943,843","982,333","943,843 to 982,333","14.1","13.8","14.4","13.8 to 14.4","1,566,154","291,841","281,292","302,390","281,292 to 302,390","18.6","17.9","19.3","17.9 to 19.3","1,122,088","197,126","187,896","206,356","187,896 to 206,356","17.6","16.8","18.4","16.8 to 18.4","432,592","83,830","78,775","88,885","78,775 to 88,885","19.4","18.2","20.6","18.2 to 20.6","$58,431","$57,782","$59,080","$57,782 to $59,080"
"2012","53","53000","Washington","6,761,950","916,976","896,261","937,691","896,261 to 937,691","13.6","13.3","13.9","13.3 to 13.9","1,555,126","288,376","277,380","299,372","277,380 to 299,372","18.5","17.8","19.2","17.8 to 19.2","1,115,487","187,812","178,282","197,342","178,282 to 197,342","16.8","15.9","17.7","15.9 to 17.7","431,278","92,561","87,534","97,588","87,534 to 97,588","21.5","20.3","22.7","20.3 to 22.7","$57,574","$57,000","$58,148","$57,000 to $58,148"
"2011","53","53000","Washington","6,687,040","931,605","912,604","950,606","912,604 to 950,606","13.9","13.6","14.2","13.6 to 14.2","1,547,554","286,709","276,673","296,745","276,673 to 296,745","18.5","17.9","19.1","17.9 to 19.1","1,107,359","186,781","178,797","194,765","178,797 to 194,765","16.9","16.2","17.6","16.2 to 17.6","430,197","90,628","84,749","96,507","84,749 to 96,507","21.1","19.7","22.5","19.7 to 22.5","$56,811","$56,260","$57,362","$56,260 to $57,362"
"2010","53","53000","Washington","6,615,957","890,251","871,019","909,483","871,019 to 909,483","13.5","13.2","13.8","13.2 to 13.8","1,557,395","283,993","273,947","294,039","273,947 to 294,039","18.2","17.6","18.8","17.6 to 18.8","1,116,511","179,829","171,359","188,299","171,359 to 188,299","16.1","15.3","16.9","15.3 to 16.9","430,835","95,040","89,869","100,211","89,869 to 100,211","22.1","20.9","23.3","20.9 to 23.3","$55,584","$55,058","$56,110","$55,058 to $56,110"
"2009","53","53000","Washington","6,530,722","803,266","786,594","819,938","786,594 to 819,938","12.3","12.0","12.6","12.0 to 12.6","1,542,475","249,767","239,399","260,135","239,399 to 260,135","16.2","15.5","16.9","15.5 to 16.9","1,093,709","160,882","151,705","170,059","151,705 to 170,059","14.7","13.9","15.5","13.9 to 15.5","440,165","80,967","76,310","85,624","76,310 to 85,624","18.4","17.3","19.5","17.3 to 19.5","$56,479","$55,969","$56,990","$55,969 to $56,990"
"2008","53","53000","Washington","6,418,142","727,156","711,815","742,496","711,815 to 742,496","11.3","11.1","11.6","11.1 to 11.6","1,516,160","217,241","207,951","226,531","207,951 to 226,531","14.3","13.7","14.9","13.7 to 14.9","1,080,850","135,129","127,043","143,215","127,043 to 143,215","12.5","11.8","13.3","11.8 to 13.3","425,280","73,053","68,462","77,643","68,462 to 77,643","17.2","16.1","18.3","16.1 to 18.3","$58,081","$57,517","$58,645","$57,517 to $58,645"
"2007","53","53000","Washington","6,337,703","722,589","708,285","736,892","708,285 to 736,892","11.4","11.2","11.6","11.2 to 11.6","1,507,220","225,339","217,127","233,551","217,127 to 233,551","15.0","14.4","15.5","14.4 to 15.5","1,081,319","141,844","135,221","148,467","135,221 to 148,467","13.1","12.5","13.7","12.5 to 13.7","414,346","72,712","68,201","77,224","68,201 to 77,224","17.5","16.5","18.6","16.5 to 18.6","$55,628","$55,142","$56,113","$55,142 to $56,113"
"2006","53","53000","Washington","6,261,156","736,907","722,492","751,322","722,492 to 751,322","11.8","11.5","12.0","11.5 to 12.0","1,495,283","232,217","224,224","240,210","224,224 to 240,210","15.5","15.0","16.1","15.0 to 16.1","1,085,811","150,580","143,653","157,507","143,653 to 157,507","13.9","13.2","14.5","13.2 to 14.5","398,427","71,541","67,668","75,414","67,668 to 75,414","18.0","17.0","18.9","17.0 to 18.9","$52,571","$52,110","$53,033","$52,110 to $53,033"
"2015","54","54000","West Virginia","1,793,098","322,589","313,401","331,777","313,401 to 331,777","18.0","17.5","18.5","17.5 to 18.5","371,612","91,962","88,004","95,920","88,004 to 95,920","24.7","23.6","25.8","23.6 to 25.8","267,509","61,328","57,935","64,721","57,935 to 64,721","22.9","21.6","24.2","21.6 to 24.2","101,268","28,552","26,605","30,499","26,605 to 30,499","28.2","26.3","30.1","26.3 to 30.1","$41,969","$41,200","$42,738","$41,200 to $42,738"
"2014","54","54000","West Virginia","1,793,046","328,734","320,351","337,117","320,351 to 337,117","18.3","17.8","18.8","17.8 to 18.8","367,288","91,659","88,030","95,288","88,030 to 95,288","25.0","24.0","26.0","24.0 to 26.0","265,878","61,365","58,228","64,502","58,228 to 64,502","23.1","21.9","24.3","21.9 to 24.3","99,390","28,483","26,640","30,326","26,640 to 30,326","28.7","26.8","30.6","26.8 to 30.6","$41,030","$40,399","$41,661","$40,399 to $41,661"
"2013","54","54000","West Virginia","1,798,289","331,674","322,877","340,471","322,877 to 340,471","18.4","17.9","18.9","17.9 to 18.9","370,258","97,201","92,993","101,409","92,993 to 101,409","26.3","25.2","27.4","25.2 to 27.4","270,279","64,539","61,191","67,887","61,191 to 67,887","23.9","22.7","25.1","22.7 to 25.1","97,782","30,576","28,089","33,063","28,089 to 33,063","31.3","28.8","33.8","28.8 to 33.8","$41,195","$40,477","$41,913","$40,477 to $41,913"
"2012","54","54000","West Virginia","1,801,127","323,978","315,059","332,897","315,059 to 332,897","18.0","17.5","18.5","17.5 to 18.5","373,977","93,742","89,906","97,578","89,906 to 97,578","25.1","24.1","26.1","24.1 to 26.1","271,423","62,933","59,564","66,302","59,564 to 66,302","23.2","22.0","24.4","22.0 to 24.4","100,370","28,960","27,179","30,741","27,179 to 30,741","28.9","27.1","30.7","27.1 to 30.7","$40,188","$39,520","$40,856","$39,520 to $40,856"
"2011","54","54000","West Virginia","1,802,688","336,658","327,556","345,760","327,556 to 345,760","18.7","18.2","19.2","18.2 to 19.2","376,309","98,270","94,329","102,211","94,329 to 102,211","26.1","25.1","27.1","25.1 to 27.1","272,547","65,497","62,175","68,819","62,175 to 68,819","24.0","22.8","25.2","22.8 to 25.2","100,922","30,473","28,304","32,642","28,304 to 32,642","30.2","28.1","32.3","28.1 to 32.3","$38,587","$37,770","$39,404","$37,770 to $39,404"
"2010","54","54000","West Virginia","1,799,951","327,459","318,847","336,071","318,847 to 336,071","18.2","17.7","18.7","17.7 to 18.7","376,812","96,683","92,408","100,958","92,408 to 100,958","25.7","24.6","26.8","24.6 to 26.8","272,720","63,739","60,033","67,445","60,033 to 67,445","23.4","22.0","24.8","22.0 to 24.8","101,590","30,906","28,891","32,921","28,891 to 32,921","30.4","28.4","32.4","28.4 to 32.4","$38,241","$37,435","$39,047","$37,435 to $39,047"
"2009","54","54000","West Virginia","1,771,531","316,155","308,177","324,134","308,177 to 324,134","17.8","17.4","18.3","17.4 to 18.3","377,777","91,059","87,297","94,821","87,297 to 94,821","24.1","23.1","25.1","23.1 to 25.1","273,678","60,850","57,680","64,020","57,680 to 64,020","22.2","21.1","23.4","21.1 to 23.4","103,039","28,902","26,930","30,874","26,930 to 30,874","28.0","26.1","30.0","26.1 to 30.0","$37,423","$36,756","$38,090","$36,756 to $38,090"
"2008","54","54000","West Virginia","1,767,432","308,064","299,504","316,624","299,504 to 316,624","17.4","16.9","17.9","16.9 to 17.9","378,652","90,634","86,629","94,639","86,629 to 94,639","23.9","22.9","25.0","22.9 to 25.0","272,720","56,158","52,577","59,739","52,577 to 59,739","20.6","19.3","21.9","19.3 to 21.9","103,053","32,002","30,174","33,830","30,174 to 33,830","31.1","29.3","32.8","29.3 to 32.8","$37,528","$36,557","$38,500","$36,557 to $38,500"
